# Rime user dictionary
#@/db_name	pinyin_simp.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	32367
#@/user_id	Mac
a 	啊	c=393 d=1.26882 t=31923
bu xian shi 	不显示	c=1 d=1 t=19657
bu xiang 	不像	c=10 d=1 t=28329
bu xiang 	不想	c=23 d=1.96199 t=31176
bu xiang chi 	不想吃	c=1 d=1 t=22704
bu xiang chu li 	不想处理	c=1 d=1 t=30610
bu xiang ge ren 	不像个人	c=1 d=1 t=5925
bu xiang huo le 	不想活了	c=1 d=1 t=980
bu xiang si 	不想死	c=1 d=1 t=9657
bu xiang xiang 	不想想	c=1 d=1 t=26780
bu xiang xin 	不相信	c=2 d=1 t=31706
bu xiao 	不小	c=1 d=1 t=2025
bu xin 	不信	c=5 d=1.00207 t=24473
bu xing 	不幸	c=13 d=1.0004 t=25946
bu xing 	不行	c=7 d=1 t=21607
bu xing yun 	不幸运	c=1 d=1 t=23047
bu xu yao 	不需要	c=16 d=1.08399 t=32280
bu xu yao qian 	不需要钱	c=1 d=1 t=30344
bu xuan 	不选	c=1 d=1 t=31947
bu xuan chuan 	不宣传	c=1 d=1 t=27757
bu xue 	不学	c=2 d=1.00003 t=7090
bu yao 	不要	c=35 d=1.03283 t=32315
bu yao lai 	不要来	c=1 d=1 t=2363
bu yao le 	不要了	c=2 d=1.00863 t=20973
bu yao lian 	不要脸	c=1 d=1 t=15674
bu yao wo le 	不要我了	c=2 d=1.02592 t=12624
bu ye 	不也	c=5 d=1 t=28102
bu ye ke yi 	不也可以	c=1 d=1 t=647
bu ye shi 	不也是	c=2 d=1 t=10793
bu ye yao 	不也要	c=1 d=1 t=5744
bu yi 	不宜	c=0 d=0.1 t=22168
bu yi ding 	不一定	c=4 d=1 t=19606
bu yi yang 	不一样	c=11 d=1 t=31128
bu yi yang de 	不一样的	c=1 d=0.1 t=30384
bu yi yang de ren 	不一样的人	c=1 d=1 t=30385
bu yi yang le 	不一样了	c=2 d=1 t=10552
bu yin wei 	不因为	c=1 d=1 t=24055
bu ying 	不赢	c=1 d=0.1 t=22426
bu yong 	不用	c=3 d=1 t=24231
bu yong kan le 	不用看了	c=1 d=1 t=12588
bu yong le 	不用了	c=1 d=1 t=16816
bu yu 	捕鱼	c=1 d=0.782705 t=32367
bu yuan yi 	不愿意	c=5 d=1.97475 t=25480
bu za de 	不咋的	c=1 d=1 t=5310
bu zai 	不再	c=1 d=0.1 t=22527
bu zai hu 	不在乎	c=8 d=1 t=31055
bu zai shi 	不再是	c=1 d=1 t=22528
bu zai yu 	不在于	c=1 d=1 t=26643
bu ze shou duan 	不择手段	c=1 d=1 t=7647
bu zen me 	不怎么	c=2 d=1 t=14141
bu zhai diao 	不摘掉	c=1 d=1 t=28401
bu zhan 	不占	c=1 d=1 t=28000
bu zhang 	不长	c=0 d=0.1 t=22539
bu zhang yan jing 	不长眼睛	c=1 d=1 t=22540
bu zhe me 	不这么	c=1 d=1 t=26662
bu zhe yang 	不这样	c=1 d=1 t=8654
bu zheng chang 	不正常	c=5 d=1 t=30696
bu zheng jing 	不正经	c=4 d=1 t=28542
bu zhi 	不治	c=1 d=1 t=25211
bu zhi dao 	不知道	c=26 d=0.135744 t=32061
bu zhi dao de 	不知道的	c=1 d=1 t=32062
bu zhi yu 	不至于	c=3 d=1 t=31846
bu zhong yao 	不重要	c=2 d=1 t=25874
bu zhu 	不住	c=4 d=0.1 t=27803
bu zhu de 	不住的	c=1 d=1 t=10755
bu zhuan 	不转	c=1 d=1 t=30862
bu zhuan qian 	不赚钱	c=1 d=1 t=28560
bu zhun 	不准	c=0 d=0.1 t=18885
bu zi xin 	不自信	c=1 d=1 t=15662
bu zou 	不走	c=1 d=1 t=25372
bu zu 	不足	c=3 d=1.00117 t=24438
bu zuo 	不做	c=3 d=1.00038 t=28107
cai 	彩	c=1 d=1 t=24340
cai 	才	c=11 d=1.00141 t=32204
cai 	睬	c=1 d=1 t=13293
cai 	菜	c=1 d=1 t=27294
cai chan 	财产	c=5 d=1.64996 t=30256
cai fa 	财阀	c=2 d=1.99005 t=15770
cai hao 	才好	c=1 d=1 t=885
cai hua 	才华	c=1 d=1 t=17448
cai hui 	才会	c=4 d=1 t=20105
cai ke yi 	才可以	c=2 d=1 t=29600
cai le 	猜了	c=1 d=1 t=19703
cai liao 	材料	c=1 d=1 t=26468
cai neng 	才能	c=8 d=0.946485 t=32367
cai shi 	才是	c=14 d=0.980199 t=32367
cai tuan 	财团	c=1 d=1 t=13324
cai wu 	财务	c=1 d=1 t=22519
cai you 	才有	c=12 d=1.00044 t=30837
cai you ke neng 	才有可能	c=1 d=1 t=1902
cai zhe yang 	才这样	c=1 d=1 t=31349
can 	惨	c=1 d=1 t=20154
can he 	参合	c=1 d=1 t=27743
can ku 	残酷	c=3 d=1 t=31544
can ren 	残忍	c=0 d=0.1 t=8811
can ren dao le 	残忍到了	c=1 d=1 t=8812
cao 	操	c=2 d=1.97531 t=13738
cao 	曺	c=1 d=1 t=27305
cao dan 	操蛋	c=1 d=1 t=11209
cao xin 	操心	c=3 d=0.1 t=10229
cao xin de 	操心的	c=1 d=1 t=10230
cao zuo 	操作	c=0 d=0.1 t=12659
ce hua 	策划	c=1 d=1.08395 t=3292
ce hua shu 	策划书	c=1 d=1 t=3258
ce shi 	测试	c=3 d=1 t=16786
ceng 	层	c=1 d=1 t=2675
ceng 	蹭	c=0 d=0.1 t=1759
ceng bu shang 	蹭不上	c=1 d=1 t=1760
ceng dian 	蹭点	c=1 d=1 t=390
ceng ji he shi 	曾几何时	c=1 d=1 t=20777
ceng jing 	曾经	c=1 d=0.100244 t=10552
cha 	差	c=9 d=1.00002 t=31776
cha 	查	c=5 d=1 t=30076
cha 	茶	c=2 d=1.41066 t=29589
cha bie 	差别	c=2 d=1 t=29573
cha bu duo 	差不多	c=1 d=1 t=16347
cha cha 	查查	c=2 d=1 t=21131
cha dao 	查到	c=2 d=1 t=29980
cha de 	查得	c=1 d=1 t=28047
cha dian 	差点	c=3 d=1.00339 t=23158
cha jin 	差劲	c=2 d=1.0802 t=23534
cha ju 	差距	c=11 d=1.00017 t=29794
cha qiang 	差强	c=1 d=1 t=2619
cha qu 	插曲	c=1 d=1 t=6768
cha shou 	插手	c=2 d=1 t=22776
cha ye 	茶叶	c=1 d=1 t=23495
chai you ji 	柴油机	c=0 d=0.1 t=9953
chan 	产	c=4 d=1 t=26722
chan 	缠	c=1 d=1 t=22440
chan pin 	产品	c=2 d=1 t=17537
chan sheng 	产生	c=0 d=0.1 t=25280
chan sheng le 	产生了	c=1 d=1 t=25281
chan ye 	产业	c=3 d=1 t=31305
chan zhe 	缠着	c=4 d=1 t=26724
chang 	厂	c=1 d=1 t=2071
chang 	肠	c=1 d=0.453455 t=21159
chang 	长	c=9 d=1.78822 t=29634
chang chang 	常常	c=2 d=1.04329 t=15090
chang duan 	长短	c=0 d=0.1 t=508
chang gui 	常规	c=1 d=1 t=7978
chang li 	厂里	c=1 d=1 t=13850
chang ming 	长命	c=1 d=1 t=28039
chang nian 	常年	c=1 d=1 t=17160
chang qi 	长期	c=1 d=1 t=16123
chang ren 	常人	c=1 d=1 t=16351
chang shi 	尝试	c=2 d=1 t=15683
chang shi 	常事	c=1 d=1 t=18225
chang shi jian 	长时间	c=1 d=1 t=1650
chang suo 	场所	c=2 d=1 t=28242
chang wei 	肠胃	c=4 d=1.00083 t=22783
chang wei bing 	肠胃病	c=2 d=1 t=24345
chang yuan 	长远	c=1 d=1 t=7191
chao 	吵	c=0 d=0.1 t=15114
chao 	朝	c=1 d=1 t=16390
chao bu guo 	吵不过	c=1 d=1 t=15115
chao dai 	朝代	c=2 d=1 t=23920
chao de 	吵得	c=1 d=1 t=23771
chao gu 	炒股	c=1 d=1 t=26608
chao gu de 	炒股的	c=1 d=1 t=22611
chao guo 	超过	c=1 d=1 t=2428
chao ji 	超级	c=1 d=1 t=14632
chao jia 	吵架	c=4 d=1.00014 t=24048
chao shi 	超市	c=1 d=1 t=18942
chao si 	吵死	c=1 d=1 t=23746
che 	扯	c=2 d=1 t=28857
che 	撤	c=0 d=0.1 t=24742
che 	车	c=2 d=1 t=28357
che bu che su 	撤不撤诉	c=1 d=1 t=24743
che di 	彻底	c=5 d=1 t=32245
che shang 	扯上	c=1 d=1 t=3805
che su 	撤诉	c=15 d=1 t=31281
che zi 	车子	c=1 d=1 t=13593
chen 	沉	c=1 d=1 t=14118
chen 	臣	c=36 d=1 t=23573
chen 	衬	c=1 d=1 t=2462
chen 	趁	c=1 d=1 t=364
chen 	陈	c=6 d=2.98813 t=28163
chen gong 	陈宫	c=2 d=1.99005 t=12516
chen ji xiang 	陈吉香	c=2 d=1 t=32367
chen luan 	趁乱	c=2 d=1.47711 t=624
chen zhe 	趁着	c=2 d=1 t=24945
cheng 	城	c=6 d=2.94082 t=32367
cheng 	成	c=5 d=0.927743 t=32367
cheng 	撑	c=4 d=1 t=27287
cheng bai 	成败	c=2 d=1 t=22594
cheng bao 	承包	c=1 d=1 t=27862
cheng ben 	成本	c=2 d=1 t=27926
cheng bu 	成不	c=2 d=1.00184 t=31398
cheng bu zhu 	撑不住	c=1 d=1 t=24955
cheng dan 	承担	c=5 d=1.00007 t=29839
cheng du 	成都	c=4 d=1.01518 t=20149
cheng du 	程度	c=4 d=1 t=14858
cheng fen 	成分	c=0 d=0.1 t=5930
cheng fen zai 	成分在	c=1 d=1 t=5931
cheng gong 	成功	c=13 d=2.70732 t=27835
cheng gong de 	成功的	c=1 d=1 t=5753
cheng gong le 	成功了	c=2 d=1 t=18053
cheng ji 	成绩	c=1 d=1 t=7730
cheng jia 	成家	c=1 d=1 t=6663
cheng jian 	城坚	c=1 d=0.965605 t=32367
cheng jiu 	成就	c=1 d=1 t=18612
cheng jiu gan 	成就感	c=1 d=1 t=1492
cheng le 	成了	c=5 d=1 t=23879
cheng quan 	成全	c=3 d=1 t=24557
cheng qun 	成群	c=0 d=0.0733447 t=32367
cheng ren 	承认	c=1 d=1 t=4777
cheng shi 	城市	c=4 d=0.960789 t=32367
cheng shou 	承受	c=10 d=1.53526 t=26797
cheng shou bu qi 	承受不起	c=1 d=1 t=20525
cheng shu 	成熟	c=1 d=1 t=6266
cheng si 	撑死	c=1 d=1 t=16636
cheng wei 	成为	c=6 d=1.13534 t=27787
cheng wei le 	成为了	c=1 d=1 t=15154
cheng zhang 	成长	c=2 d=1 t=19978
chi 	吃	c=19 d=0.101674 t=30349
chi bu 	吃不	c=0 d=0.1 t=11258
chi bu hao 	吃不好	c=1 d=1 t=20875
chi bu liao 	吃不了	c=3 d=1.7156 t=24342
chi bu qi 	吃不起	c=5 d=1 t=31958
chi bu wan 	吃不完	c=1 d=1 t=28950
chi bu xia 	吃不下	c=1 d=0.1 t=18771
chi cun 	尺寸	c=1 d=1 t=29581
chi dao 	迟到	c=1 d=1 t=1233
chi de 	吃得	c=0 d=0.1 t=20978
chi de xia 	吃得下	c=1 d=1 t=20979
chi dian 	吃点	c=2 d=1 t=19037
chi fan 	吃饭	c=4 d=1.00107 t=29816
chi ge 	吃个	c=1 d=1 t=24992
chi he wan le 	吃喝玩乐	c=2 d=1 t=15888
chi ku 	吃苦	c=2 d=1.00002 t=30875
chi ku de 	吃苦的	c=1 d=1 t=977
chi ku shou lei 	吃苦受累	c=1 d=1 t=29181
chi kui 	吃亏	c=1 d=1.00092 t=18324
chi kui le 	吃亏了	c=1 d=1 t=17388
chi lai 	迟来	c=2 d=1.96561 t=19820
chi le 	吃了	c=8 d=0.852144 t=32367
chi li 	吃力	c=1 d=1 t=27796
chi rou 	吃肉	c=1 d=1 t=21280
chi shen me 	吃什么	c=4 d=1 t=29736
chi xiang 	吃香	c=1 d=1 t=7126
chi xin 	痴心	c=0 d=0.1 t=11348
chi xin wang xiang 	痴心妄想	c=1 d=1 t=11349
chi yao 	吃药	c=0 d=0.1 t=20936
chi yao le 	吃药了	c=1 d=1 t=20937
chi yi dun 	吃一顿	c=1 d=1 t=30350
chi zao 	迟早	c=3 d=1 t=10792
chong 	冲	c=0 d=0.1 t=6036
chong 	宠	c=2 d=1 t=21855
chong ai 	宠爱	c=1 d=1 t=9298
chong da 	宠大	c=1 d=1 t=21866
chong jian 	重建	c=0 d=0.1 t=327
chong jian tian ri 	重建天日	c=1 d=1 t=328
chong lai 	重来	c=1 d=1 t=21312
chong man 	充满	c=1 d=1 t=21794
chong sheng 	重生	c=2 d=1 t=16087
chong su 	重塑	c=1 d=1 t=1207
chong tou 	重头	c=2 d=0.98692 t=17188
chong tou zai lai 	冲头再来	c=1 d=1 t=6037
chong tou zai lai 	重头再来	c=1 d=1 t=17189
chong tu 	冲突	c=2 d=1 t=25885
chong xin 	重新	c=5 d=1 t=25968
chong zhe 	宠着	c=1 d=1 t=13327
chong zhi 	重置	c=2 d=1.89137 t=5151
chou 	仇	c=1 d=1 t=19941
chou 	愁	c=3 d=1 t=28450
chou 	抽	c=1 d=1 t=18795
chou hen 	仇恨	c=1 d=1 t=24653
chou si 	抽死	c=1 d=1 t=19205
chu 	出	c=10 d=1 t=31395
chu 	处	c=3 d=0.980199 t=32367
chu 	除	c=2 d=1 t=30240
chu bu 	初步	c=1 d=1 t=275
chu bu lai 	出不来	c=2 d=1 t=25593
chu bu liao 	出不了	c=3 d=0.1 t=32326
chu bu qu 	出不去	c=7 d=1.34653 t=28302
chu chu 	处处	c=2 d=1 t=24296
chu dao 	出道	c=1 d=1 t=8597
chu de 	处得	c=2 d=1 t=6368
chu dian 	出点	c=1 d=1 t=9689
chu fan 	触犯	c=1 d=1 t=7952
chu fei 	除非	c=7 d=1 t=32001
chu fei ni 	除非你	c=1 d=1 t=14752
chu gui 	出轨	c=1 d=1 t=31520
chu guo 	出国	c=10 d=1.00003 t=30062
chu guo le 	出国了	c=1 d=1 t=24256
chu guo ma 	出国吗	c=2 d=1.93239 t=22372
chu hao 	处好	c=1 d=1 t=7792
chu jia 	出家	c=1 d=1 t=9610
chu jie guo 	出结果	c=1 d=1 t=12178
chu jing 	出境	c=2 d=1.99005 t=19480
chu jing 	处境	c=1 d=1 t=18078
chu lai 	出来	c=17 d=0.12706 t=31402
chu lai de 	出来的	c=1 d=1 t=18663
chu lai ge ren 	出来个人	c=1 d=1 t=9147
chu le 	出了	c=3 d=1 t=26893
chu le 	除了	c=17 d=1 t=29850
chu le dian 	出了点	c=1 d=1 t=11598
chu li 	处理	c=9 d=1.08511 t=30609
chu lu 	出路	c=3 d=1 t=22209
chu men 	出门	c=11 d=1 t=31799
chu mian 	出面	c=1 d=1 t=14928
chu ming 	出名	c=1 d=1 t=4159
chu qu 	出去	c=25 d=1.02132 t=29797
chu qu wan 	出去玩	c=1 d=1 t=14733
chu shen 	出身	c=3 d=1 t=16677
chu sheng 	出生	c=5 d=1 t=25821
chu sheng yi hou 	出生以后	c=1 d=1 t=955
chu sheng zai 	出生在	c=1 d=1 t=20397
chu shi 	出事	c=8 d=0.466051 t=16680
chu shi 	处事	c=1 d=1 t=23179
chu shi le 	出事了	c=4 d=1 t=21801
chu shou 	出手	c=1 d=1.00002 t=22425
chu xian 	出现	c=10 d=1 t=27616
chu xian le 	出现了	c=1 d=1 t=13272
chu xian zai 	出现在	c=1 d=1 t=13089
chu xing 	出行	c=1 d=1 t=26437
chu yi 	厨艺	c=1 d=1 t=28932
chu zai 	出在	c=1 d=1 t=22950
chu zai 	处在	c=1 d=1 t=28333
chu zhe yang 	出这样	c=1 d=1 t=20106
chuai zhe 	揣着	c=1 d=1 t=14124
chuan 	串	c=1 d=1 t=25418
chuan 	传	c=1 d=1 t=19279
chuan 	喘	c=1 d=1 t=27315
chuan bo 	传播	c=3 d=2.7962 t=26584
chuan bu guo lai 	喘不过来	c=1 d=1 t=22890
chuan kou qi 	喘口气	c=1 d=1 t=18826
chuan mei 	传媒	c=1 d=1 t=1764
chuan qi 	传奇	c=2 d=1.90937 t=16157
chuan shuo 	传说	c=1 d=0.683861 t=32367
chuan tong 	传统	c=2 d=1.00004 t=31183
chuan xi 	喘息	c=1 d=1 t=15247
chuan xian 	穿线	c=1 d=1 t=29660
chuan xiao 	传销	c=4 d=1 t=23342
chuan zhe 	穿着	c=1 d=1 t=30223
chuang 	创	c=1 d=1 t=18610
chuang 	疮	c=1 d=1 t=19664
chuang dang 	闯荡	c=1 d=1 t=23957
chuang jian 	创建	c=1 d=1 t=5155
chuang shang 	创伤	c=0 d=0.1 t=15482
chuang shang xing 	创伤性	c=1 d=1 t=15483
chuang ye 	创业	c=4 d=1 t=9983
chuang zao 	创造	c=1 d=0.118133 t=17284
chuang zao de 	创造的	c=1 d=1 t=17285
chuang zao xing 	创造性	c=0 d=0.1 t=1893
chui 	吹	c=1 d=1 t=27765
chun 	蠢	c=1 d=1 t=2589
chun cui 	纯粹	c=1 d=1 t=10511
ci 	次	c=2 d=1 t=31152
ci 	词	c=1 d=1 t=2788
ci chang 	磁场	c=1 d=1 t=4055
ci hou 	伺候	c=1 d=1 t=17859
ci hui 	词汇	c=1 d=1 t=13087
ci ji 	刺激	c=2 d=1.09324 t=19543
ci sheng 	此生	c=0 d=0.1 t=24959
ci shu 	次数	c=2 d=1.74453 t=13216
ci yu 	词语	c=1 d=1 t=13488
ci zhi 	辞职	c=2 d=0.1 t=30305
ci zhi le 	辞职了	c=1 d=1 t=30306
cong 	从	c=19 d=0.492586 t=31532
cong ci 	从此	c=2 d=1 t=18097
cong ci yi hou 	从此以后	c=1 d=1 t=24202
cong feng xian 	从风险	c=1 d=1 t=3271
cong lai 	从来	c=19 d=2.42809 t=32227
cong li shi 	从历史	c=1 d=1 t=17400
cong ming 	聪明	c=2 d=0.1 t=30321
cong ming de 	聪明的	c=1 d=1 t=30322
cong ming ren 	聪明人	c=1 d=1 t=2229
cong na 	从那	c=1 d=1 t=13441
cong na li 	从哪里	c=2 d=1 t=23875
cong na yi hou 	从那以后	c=1 d=1 t=2874
cong qian 	从前	c=1 d=0.786628 t=32367
cong wei 	从未	c=2 d=1 t=13252
cong wo de 	从我的	c=1 d=1 t=17615
cong xiao 	从小	c=6 d=1 t=30426
cong xiao dao da 	从小到达	c=2 d=1 t=11776
cong yi er zhong 	从一而终	c=1 d=1 t=31533
cong yi kai shi 	从一开始	c=1 d=1 t=26020
cou dian 	凑点	c=1 d=1 t=32047
cu bao 	粗暴	c=1 d=1 t=276
cu hua 	粗话	c=1 d=1 t=15095
cuan 	蹿	c=1 d=1 t=12448
cui can 	摧残	c=1 d=1 t=31373
cui hui 	摧毁	c=2 d=1 t=32120
cui ruo 	脆弱	c=1 d=1 t=27972
cun 	存	c=1 d=1 t=31833
cun de 	村的	c=1 d=1 t=4626
cun qian 	存钱	c=2 d=1 t=31850
cun tie 	寸铁	c=1 d=1 t=18294
cun wang 	存亡	c=1 d=0.1 t=19686
cun zai 	存在	c=5 d=1.001 t=32092
cuo 	错	c=2 d=1 t=13711
cuo guo 	错过	c=1 d=0.1 t=10331
cuo guo le 	错过了	c=2 d=1 t=31209
cuo le 	错了	c=2 d=1.84789 t=5750
cuo wu 	错误	c=5 d=0.105685 t=27686
cuo wu de 	错误的	c=2 d=1.00018 t=29409
cuo zhe 	挫折	c=6 d=1.20237 t=23441
da 	大	c=19 d=1.00007 t=30428
da 	打	c=5 d=1 t=18212
da 	搭	c=1 d=1 t=7362
da 	答	c=2 d=1.99005 t=7619
da 	达	c=1 d=0.970446 t=32367
da an 	答案	c=2 d=1 t=19454
da ba 	大把	c=2 d=1 t=30408
da bao 	打包	c=1 d=1 t=18953
da bing 	大饼	c=1 d=1 t=2899
da bu 	打不	c=0 d=0.1 t=14725
da bu fen 	大部分	c=6 d=1 t=31798
da bu fen ren 	大部分人	c=2 d=1 t=18680
da bu guo 	打不过	c=1 d=1 t=14726
da cheng 	达成	c=1 d=1 t=8386
da cheng shi 	大城市	c=1 d=1 t=10833
da da 	大大	c=0 d=0.1 t=9328
da da fang fang 	大大方方	c=1 d=1 t=9329
da dao 	达到	c=2 d=1.68386 t=8073
da dao li 	大道理	c=1 d=1 t=20194
da de 	大的	c=10 d=1 t=31494
da de 	打得	c=1 d=1 t=28437
da dian 	大点	c=0 d=0.1 t=13566
da duo 	大多	c=0 d=0.1 t=4147
da duo ren 	大多人	c=1 d=1 t=4148
da duo shu 	大多数	c=13 d=1 t=30755
da duo shu ren 	大多数人	c=4 d=1 t=30688
da feng 	大风	c=1 d=1 t=22055
da fu 	答复	c=2 d=1.10383 t=12072
da gai 	大概	c=13 d=1 t=29631
da gai jiu shi 	大概就是	c=1 d=1 t=15162
da gai lv 	大概率	c=4 d=1.73345 t=24962
da gai shi 	大概是	c=2 d=1.0013 t=16630
da ge 	大哥	c=8 d=1.00832 t=27899
da gong zai 	打工仔	c=1 d=1 t=13755
da jia 	大家	c=43 d=1.13165 t=31652
da jia 	打架	c=0 d=0.1 t=22418
da jia dou ou 	打架斗殴	c=1 d=1 t=22419
da jia zu 	大家族	c=1 d=1 t=17372
da jian 	搭建	c=2 d=1.97531 t=19455
da jiang 	大奖	c=0 d=0.1 t=11143
da jiao dao 	打交道	c=1 d=1 t=3467
da jie 	大姐	c=1 d=1 t=238
da kai 	打开	c=1 d=1 t=22631
da ku 	大哭	c=1 d=1 t=10773
da lao 	大佬	c=5 d=1.036 t=28841
da lao hu 	大佬乎	c=1 d=1 t=295
da le 	大了	c=2 d=1.32142 t=23379
da le 	打了	c=1 d=1 t=5355
da liang 	大量	c=0 d=0.1 t=3977
da liang de 	大量的	c=1 d=1 t=3978
da luan 	大乱	c=1 d=1 t=16333
da mo tou 	大魔头	c=1 d=1 t=22535
da mo wang 	大魔王	c=1 d=1 t=9735
da ping ceng 	大平层	c=1 d=1 t=16006
da qi da luo 	大起大落	c=1 d=0.721885 t=16053
da qi da luo de 	大起大落的	c=1 d=1 t=16054
da qian 	大钱	c=1 d=1 t=20751
da ren 	大人	c=1 d=1 t=17737
da ren men 	大人们	c=1 d=1 t=22773
da ren wu 	大人物	c=1 d=1 t=7454
da shan 	搭讪	c=3 d=2.49302 t=14295
da shang 	搭上	c=1 d=1 t=31132
da sheng 	大省	c=1 d=1 t=27462
da shi 	大事	c=6 d=1 t=23613
da shi gu 	大世故	c=2 d=1.81873 t=16705
da shu ju 	大数据	c=1 d=1 t=9993
da suan 	打算	c=11 d=1.00067 t=28998
da wo 	打我	c=1 d=1 t=20244
da xue 	大学	c=8 d=1 t=29298
da xue de 	大学的	c=1 d=1 t=5559
da xue sheng 	大学生	c=1 d=1 t=8617
da xue tong xue 	大学同学	c=1 d=1 t=7079
da ya 	打压	c=2 d=1 t=25677
da ying wo 	答应我	c=0 d=0.1 t=25921
da ying wo de shi 	答应我的事	c=1 d=1 t=25922
da zhan 	大战	c=1 d=1 t=19648
da zhang 	打仗	c=3 d=1 t=19678
dai 	代	c=1 d=1 t=18803
dai 	带	c=4 d=1 t=31177
dai 	待	c=2 d=1 t=22753
dai 	贷	c=2 d=1 t=12972
dai biao 	代表	c=1 d=0.1 t=14263
dai bing 	带兵	c=1 d=1 t=3882
dai de 	待的	c=1 d=1 t=23246
dai du 	歹毒	c=4 d=1.36604 t=23297
dai ge 	带个	c=1 d=1 t=22789
dai gei 	带给	c=1 d=1 t=7800
dai guo 	带过	c=1 d=1 t=23533
dai hai zi 	带孩子	c=2 d=1 t=15556
dai hai zi de 	带孩子的	c=1 d=1 t=11608
dai huai 	带坏	c=1 d=1 t=14511
dai jia 	代价	c=9 d=1 t=31110
dai kuan 	带宽	c=1 d=1 t=9998
dai kuan 	贷款	c=2 d=1 t=25363
dai lai 	带来	c=6 d=1 t=32037
dai lai le 	带来了	c=1 d=1 t=7508
dai le 	代了	c=1 d=1 t=17410
dai le 	待了	c=3 d=1.002 t=24644
dai li 	代理	c=1 d=1 t=26349
dai pian 	带偏	c=1 d=1 t=8080
dai ren 	歹人	c=2 d=1.00002 t=4953
dai shang 	带上	c=0 d=0.1 t=29739
dai shang wo 	带上我	c=1 d=1 t=29740
dai shou ji 	带手机	c=1 d=1 t=5282
dai ti 	代替	c=2 d=1 t=17293
dai wo 	带我	c=1 d=1 t=18375
dai xiong 	带凶	c=1 d=1 t=24463
dai yun 	贷孕	c=1 d=1 t=18801
dai zai 	呆在	c=1 d=1 t=1651
dai zai 	待在	c=5 d=1 t=31400
dai zhe 	呆着	c=1 d=1 t=8764
dai zhe 	带着	c=3 d=1.00301 t=23395
dai zhe 	待着	c=2 d=1 t=28154
dai zou 	带走	c=1 d=1 t=1333
dan 	但	c=10 d=0.946485 t=32367
dan 	淡	c=1 d=1 t=16083
dan 	胆	c=1 d=1 t=16750
dan chun 	单纯	c=5 d=1 t=23156
dan chun de 	单纯的	c=1 d=1 t=18697
dan da 	胆大	c=1 d=1 t=16637
dan fan 	但凡	c=3 d=1 t=31842
dan kuai 	单块	c=1 d=1 t=29463
dan qin 	单亲	c=2 d=1.9802 t=23588
dan qin ma ma 	单亲妈妈	c=3 d=1 t=19287
dan shen 	单身	c=2 d=1 t=31033
dan shi 	但是	c=34 d=2.0441 t=30635
dan ta 	但他	c=1 d=1 t=13181
dan wei 	单位	c=2 d=1.99005 t=12549
dan wo 	但我	c=13 d=1.00002 t=25186
dan wo bu xi wang 	但我不希望	c=1 d=1 t=23453
dan xiao 	胆小	c=2 d=1 t=16640
dan xin 	担心	c=1 d=1 t=14535
dan xiu 	单休	c=1 d=1 t=6956
dan yi 	单一	c=1 d=1 t=5952
dan zi 	胆子	c=1 d=1 t=15434
dang 	党	c=4 d=1 t=8500
dang 	当	c=25 d=1.09306 t=31663
dang bing 	当兵	c=0 d=0.1 t=16512
dang bu cheng 	当不成	c=2 d=1 t=9276
dang bu liao 	当不了	c=3 d=1 t=30568
dang cheng 	当成	c=4 d=0.1 t=32068
dang chu 	当初	c=7 d=1.67707 t=27084
dang dang 	当当	c=1 d=1 t=16495
dang ge 	当个	c=15 d=1.14664 t=31022
dang guan 	当官	c=0 d=0.1 t=4651
dang guan de 	当官的	c=1 d=1 t=4652
dang guo 	当过	c=1 d=1 t=1727
dang ni 	当你	c=3 d=1.08869 t=29326
dang ni de 	当你的	c=1 d=1 t=29303
dang nian 	当年	c=27 d=1.19307 t=31841
dang nian de 	当年的	c=1 d=1 t=15211
dang pai 	党派	c=1 d=1 t=16227
dang ran 	当然	c=12 d=1 t=30395
dang ran shi 	当然是	c=1 d=1 t=2175
dang shi 	当时	c=2 d=0.860708 t=32367
dang wo 	当我	c=3 d=1 t=13572
dang zhu 	挡住	c=1 d=0.995012 t=32367
dang zuo 	当作	c=1 d=1 t=25010
dao 	倒	c=1 d=1 t=18543
dao 	刀	c=1 d=1 t=27753
dao 	到	c=29 d=1.39982 t=29785
dao 	盗	c=4 d=1.95262 t=521
dao 	道	c=1 d=0.100617 t=12318
dao ban 	盗版	c=1 d=1 t=1150
dao bu liao 	到不了	c=2 d=1.93239 t=3594
dao bu tong 	道不同	c=1 d=1 t=12319
dao chu 	到处	c=4 d=1.00011 t=27923
dao chu shi 	到处是	c=1 d=1 t=26522
dao da 	到达	c=0 d=0.1 t=1245
dao de 	道德	c=6 d=1 t=32126
dao di 	到底	c=7 d=1.25768 t=27267
dao le 	到了	c=6 d=1 t=29201
dao li 	道理	c=3 d=1 t=25862
dao lu 	道路	c=1 d=1 t=17314
dao lu shang 	道路上	c=1 d=1 t=7500
dao mei 	倒霉	c=15 d=1.07101 t=27674
dao mei de 	倒霉的	c=3 d=1 t=27085
dao mei le 	倒霉了	c=3 d=1.72979 t=27163
dao mei yi ci 	倒霉一次	c=1 d=1 t=24549
dao shi 	倒是	c=2 d=0.1 t=29027
dao tai 	倒台	c=1 d=1 t=297
dao tie 	倒贴	c=2 d=0.1 t=29772
dao tie qian 	倒贴钱	c=1 d=1 t=29773
